design_id,K,n,t_up,t_down,alpha,delay_kd,dynamic_range,t10_90,t50,overshoot
D0042,0.521165343167668,1.056101578009068,4.1459823993242395,1.0814592312475442,0.04270409325701726,2.496988216785772,0.6291431662820308,43.81815890497202,21.213682832010495,0.6152391245132642
D0043,0.13121188728308292,2.194897719152862,10.009542776563267,1.0390835936000862,0.04064860825031732,1.2994374672913578,0.9272678849467955,44.40288489043259,20.037192135343183,0.9053360735854304
D0044,0.5143310024802696,1.6471416911134087,10.466881875943384,0.9479718058058149,0.052957820823249194,1.476134434306934,0.7097604591093235,43.20082587355037,24.32795906719932,0.6917928215237223
D0045,0.2012334644709148,1.8767779851756734,11.454385088020171,0.591361025243528,0.041593993795590464,4.314719614618095,0.8876370609337602,44.82061264022203,25.21626175862501,0.8640389511140889
D0046,0.11048742848649834,1.1063391759431085,4.548306090373824,0.6638439673259133,0.036778736757009996,2.276351370552076,0.8499623017164094,46.469520937360016,20.890395831022694,0.8277746727396258
D0047,0.34738431105108414,2.267380276418372,7.401920619878714,0.30106837872544184,0.049834395450875923,4.429976403916994,0.8796991741035061,41.091193341068916,23.808435738603748,0.8627637375616405
D0048,0.39251955847129527,1.602055551999194,13.17511987965506,0.2827324817862102,0.05120290405910971,3.4161694126160658,0.7657578241373866,44.14458563828709,26.658100537099166,0.7445103981734987
D0049,0.19880536712099214,2.437809378187029,8.930147660278323,0.17582006447721926,0.042258860825795386,4.0441361537,0.9237334447602092,43.64668169260291,23.290043532186196,0.9022945542903543
D0050,0.43734146269777596,1.164329440177923,5.689980156720299,0.8446324179181873,0.03283625833253215,3.6858876207265685,0.6426514191548556,48.264627978879744,26.486802203076994,0.6200854375686309
D0051,0.3730788249661623,1.8674793242456285,7.672979894105902,0.6331870968356298,0.03439103285990536,4.690911807159092,0.7683204142621738,47.41137480067377,28.66706003456924,0.7405926937196391
D0052,0.30144685704042773,2.636674681812779,4.668673054469464,1.0240637415223208,0.04722476153733441,1.8295899443727548,0.9215033612396029,41.077530416521284,19.080033330633007,0.9051318952565962
D0053,0.6071939893234646,3.230141801051575,8.06988144975959,0.4381170953594843,0.05000047929497815,0.769113627514728,0.7858980380471241,41.87339189736041,25.56249418032159,0.7643819204416702
D0054,0.6376744689783567,3.4644251328203284,4.453626891170954,1.086427322424265,0.03834912812533028,4.203443273931135,0.7565046769019144,44.715667686332225,27.420716695059088,0.7331764920641622
D0055,0.5825423106086675,1.2979212554076427,6.929857851052278,1.1000352946458998,0.04911135000688637,3.7342151152623866,0.6380785856718405,42.647665703944334,24.080307063367272,0.624428913124641
D0056,0.18324391485239663,2.82803537401701,4.0540498497478055,0.4239236740832849,0.03761017902207991,0.9929483267896764,0.9214962349909278,45.68153575206289,19.22475595553724,0.8984835227029582
D0057,0.33179558138711074,0.8979966623752722,13.033477981930684,0.6421168484453339,0.04886501603468195,3.0001469795184024,0.685772933886812,44.967082297719465,23.77272064738355,0.6684526107071249
D0058,0.11278689228942175,2.0526815676951276,3.751833172737957,0.45888196702498407,0.045906133928506454,1.5158220221635639,0.9506571217271572,41.64329566961353,16.8557070184959,0.9347432018139097
D0059,0.6157334955863402,2.558354657275748,3.921896107280267,0.5851132831232312,0.05151191954482481,1.8384971827424919,0.7496538502729796,39.56367153072411,20.416395757189157,0.7370939984104263
D0060,0.11048390622559984,1.569362777537828,8.284822947589795,0.5505606699663472,0.037483537932446964,2.7276602301121704,0.8962135368792006,46.17065066048379,21.974698157559693,0.8724059786162686
D0061,0.34167885562269773,2.734749080362338,13.157863559292222,0.7849394722964962,0.03393546492857824,1.3930355180513052,0.8235067368287393,46.829097745297034,28.563721305313486,0.7881450548633917
D0062,0.22480769749878576,3.4028827758220173,4.288799936597742,0.8013220467439591,0.04095753287102484,1.79307135797919,0.9372093181095432,43.89728446997032,19.381131504703163,0.9166815915583905
D0063,0.44155488700316814,2.895982590096164,11.000778098205055,0.3776782363042336,0.036384317871544836,1.5620122648972408,0.8044396761658772,46.01390164849629,28.996684686688273,0.7709601156472803
