plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP428,KD,R1,6.0,1150.772705078125,1840730.75,1.3899883573777279,1405.0396728515625,383949.25,0.1944897191481087,2745
SP428,KD,R1,8.0,1498.840087890625,2425909.25,1.079851286632603,1396.578369140625,368646.84375,0.18900787419357945,3306
SP428,KD,R1,25.0,1766.0277099609375,2292566.75,0.7350670611164881,629.6729125976562,162386.53125,0.40956230889104606,5191
SP428,KD,R1,50.0,1502.71044921875,2733649.25,1.2105763286515459,236.23382568359375,64812.57421875,1.1613820373633996,1549
SP428,KD,R1,100.0,1823.8634033203125,1791656.875,0.5386048033555343,307.5324401855469,140678.046875,1.4874571429962424,5006
SP428,KD,R1,150.0,1681.8499755859375,1920299.25,0.6788821749847395,282.9184875488281,143583.4375,1.7938316858107715,2438
SP428,KD,R2,0.0,351.1125793457031,118591.84375,0.9619711390712304,1471.5516357421875,350197.90625,0.16171955350565423,11973
SP428,KD,R2,3.0,739.3840942382812,640445.375,1.1714989030891512,1445.1837158203125,330539.84375,0.15826238229025905,6243
SP428,KD,R2,6.0,1150.70947265625,1687910.125,1.2747292224197424,1488.8433837890625,387939.3125,0.17501116716405837,3298
SP428,KD,R2,8.0,1150.89208984375,1588808.125,1.1995054949447246,1302.2332763671875,447383.53125,0.2638167801353608,1899
SP428,KD,R2,25.0,1886.650146484375,2438724.0,0.6851409175969251,535.2330322265625,146346.484375,0.5108536225050171,6914
SP428,KD,R2,50.0,1795.8841552734375,2680359.75,0.8310677892233218,280.7341003417969,80706.203125,1.0240391920305292,3844
SP428,KD,R2,100.0,1896.935791015625,2571681.75,0.7146805472853548,307.7607116699219,134214.3125,1.4170085671034112,5155
SP428,KD,R2,150.0,1676.728515625,1857848.5,0.6608224602687085,309.3152770996094,156978.3125,1.6407292307565173,2991
SP428,KD,R3,0.0,355.2283630371094,128709.03125,1.0199849235556615,1459.669189453125,353815.0,0.16606088906554742,12504
